"Sector ID","Sector","Investment"
"31-33","Manufacturing",8480974609.375
"52","Financial and Insurance Services",5153150976.419449
"21","Mining",2380818237.3046875
"48-49","Transportation, Postal Services and Warehousing",1265270751.953125
"43","Wholesale Trade",1042976747.572422
"46","Retail Trade",597643524.1699219
"72","Temporary Accommodation Services and Food and Beverage Preparation Services",329074893.951416
"51","Mass Media Information",290223632.8125
"11","Agriculture, Animal Breeding and Production, Forestry, Fishing and Hunting",265066047.66845703
"23","Construction",169867576.5991211